,5.400.C1 room temp,5.400.C1 rcp load,5.400.C1 air load,5.400.C1 occ,5.400.C1 rcp cool load,5.400.C1 rcp heat load,5.400.C1 setpoint,5.416 room temp,5.416 rcp load,5.416 air load,5.416 occ,5.416 rcp cool load,5.416 rcp heat load,5.416 setpoint,5.417 room temp,5.417 rcp load,5.417 air load,5.417 occ,5.417 rcp cool load,5.417 rcp heat load,5.417 setpoint,5.420 room temp,5.420 rcp load,5.420 air load,5.420 occ,5.420 rcp cool load,5.420 rcp heat load,5.420 setpoint,5.425 room temp,5.425 rcp load,5.425 air load,5.425 occ,5.425 rcp cool load,5.425 rcp heat load,5.425 setpoint,5.426 room temp,5.426 rcp load,5.426 air load,5.426 occ,5.426 rcp cool load,5.426 rcp heat load,5.426 setpoint,5.429 room temp,5.429 rcp load,5.429 air load,5.429 occ,5.429 rcp cool load,5.429 rcp heat load,5.429 setpoint,Thermometer,Solar Radiation Sensor,OAT_Smooth,sp_delta,5.400.C1 Heating SP,5.400.C1 Cooling SP,5.416 Heating SP,5.416 Cooling SP,5.417 Heating SP,5.417 Cooling SP,5.420 Heating SP,5.420 Cooling SP,5.425 Heating SP,5.425 Cooling SP,5.426 Heating SP,5.426 Cooling SP,5.429 Heating SP,5.429 Cooling SP
2025-05-17 03:45:00,73.20999146,0.0,-266.3417352534404,0.0,0.0,0.0,79.99999237,73.69999695,0.0,-5.866620343869779,0.0,0.0,0.0,79.99999237,74.3999939,0.0,-1.1720198448163068,0.0,0.0,0.0,79.99999237,73.99999237,0.0,0.0,0.0,0.0,0.0,79.99999237,72.78999329,0.0,0.0,0.0,0.0,0.0,79.99999237,75.34999085,0.0,0.0,0.0,0.0,0.0,79.99999237,72.01999664,0.0,0.0,0.0,0.0,0.0,79.99999237,67.7480011,0.0,68.2868744875,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 04:00:00,73.20999146,0.0,-252.35910527560983,0.0,0.0,0.0,79.99999237,73.69999695,0.0,-4.820309090047281,0.0,0.0,0.0,79.99999237,74.19999695,0.0,-3.7727963399960345,0.0,0.0,0.0,79.99999237,73.79999542,0.0,0.0,0.0,0.0,0.0,79.99999237,72.80999756,0.0,0.0,0.0,0.0,0.0,79.99999237,75.37999725,0.0,0.0,0.0,0.0,0.0,79.99999237,71.99999237,0.0,0.0,0.0,0.0,0.0,79.99999237,67.63999863,0.0,68.2306244875,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 04:15:00,73.18999481,0.0,-269.1787435032988,0.0,0.0,0.0,79.99999237,73.79999542,0.0,0.0,0.0,0.0,0.0,79.99999237,74.29999542,0.0,-3.141917975453484,0.0,0.0,0.0,79.99999237,73.59999085,0.0,0.0,0.0,0.0,0.0,79.99999237,72.8299942,0.0,0.0,0.0,0.0,0.0,79.99999237,75.37999725,0.0,0.0,0.0,0.0,0.0,79.99999237,72.01999664,0.0,0.0,0.0,0.0,0.0,79.99999237,67.63999863,0.0,68.1811244275,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 04:30:00,73.16999817,0.0,-272.3182071091568,0.0,0.0,0.0,79.99999237,73.79999542,0.0,-4.391169163072501,0.0,0.0,0.0,79.99999237,74.29999542,0.0,-0.8723138880821779,0.0,0.0,0.0,79.99999237,73.3999939,0.0,-45.627198784441894,0.0,0.0,0.0,79.99999237,72.78999329,0.0,0.0,0.0,0.0,0.0,79.99999237,75.37999725,0.0,0.0,0.0,0.0,0.0,79.99999237,71.99999237,0.0,0.0,0.0,0.0,0.0,79.99999237,67.53199959,0.0,68.1181244875,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 04:45:00,73.15999603,0.0,-256.9390158630477,0.0,0.0,0.0,79.99999237,73.59999085,0.0,-0.5992313770388223,0.0,0.0,0.0,79.99999237,74.19999695,0.0,-1.7636724598211009,0.0,0.0,0.0,79.99999237,73.29999542,0.0,0.0,0.0,0.0,0.0,79.99999237,72.80999756,0.0,0.0,0.0,0.0,0.0,79.99999237,75.37999725,0.0,0.0,0.0,0.0,0.0,79.99999237,71.99999237,0.0,0.0,0.0,0.0,0.0,79.99999237,67.42400055,0.0,68.04837460750001,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 05:00:00,73.12999725,0.0,-257.3450047199451,0.0,0.0,0.0,79.99999237,73.59999085,0.0,-2.377403114986254,0.0,0.0,0.0,79.99999237,74.19999695,0.0,-1.9557080758191892,0.0,0.0,0.0,79.99999237,73.19999695,0.0,0.0,0.0,0.0,0.0,79.99999237,72.78999329,0.0,0.0,0.0,0.0,0.0,79.99999237,75.37999725,0.0,0.0,0.0,0.0,0.0,79.99999237,71.95999146,0.0,0.0,0.0,0.0,0.0,79.99999237,67.18999863,0.0,67.9639996075,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 05:15:00,73.10999298,0.0,-197.22676575531088,0.0,0.0,0.0,79.99999237,73.59999085,0.0,-2.0941327218712473,0.0,0.0,0.0,79.99999237,74.19999695,0.0,-1.3843783142894555,0.0,0.0,0.0,79.99999237,73.19999695,0.0,0.0,0.0,0.0,0.0,79.99999237,72.8299942,0.0,0.0,0.0,0.0,0.0,79.99999237,75.37999725,0.0,0.0,0.0,0.0,0.0,79.99999237,71.99999237,0.0,0.0,0.0,0.0,0.0,79.99999237,66.63199959,0.0,67.8447496675,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 05:30:00,73.1499939,0.0,-275.89097060123015,0.0,0.0,0.0,79.99999237,73.59999085,0.0,-1.9486705253866805,0.0,0.0,0.0,79.99999237,74.19999695,0.0,-1.4196922077805876,0.0,0.0,0.0,79.99999237,73.09999085,0.0,0.0,0.0,0.0,0.0,79.99999237,72.8299942,0.0,0.0,0.0,0.0,0.0,79.99999237,75.37999725,0.0,0.0,0.0,0.0,0.0,79.99999237,71.97999573,0.0,0.0,0.0,0.0,0.0,79.99999237,66.18199959,0.0,67.6973747275,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 05:45:00,73.12999725,0.0,-264.6344503780619,0.0,0.0,0.0,79.99999237,73.59999085,0.0,-1.9571792938738513,0.0,0.0,0.0,79.99999237,73.99999237,0.0,-1.16150965998603,0.0,0.0,0.0,79.99999237,72.99999237,0.0,0.0,0.0,0.0,0.0,79.99999237,72.80999756,0.0,0.0,0.0,0.0,0.0,79.99999237,75.37999725,0.0,0.0,0.0,0.0,0.0,79.99999237,71.95999146,0.0,0.0,0.0,0.0,0.0,79.99999237,65.62400055,2.8,67.5218747875,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 06:00:00,73.10999298,0.0,-263.19229364984716,0.0,0.0,0.0,79.99999237,73.69999695,0.0,-4.0709593882717705,0.0,0.0,0.0,79.99999237,73.99999237,0.0,-6.198481565671395,0.0,0.0,0.0,79.99999237,72.99999237,0.0,0.0,0.0,0.0,0.0,79.99999237,72.80999756,0.0,0.0,0.0,0.0,0.0,79.99999237,75.35999298,0.0,0.0,0.0,0.0,0.0,79.99999237,71.95999146,0.0,0.0,0.0,0.0,0.0,79.99999237,65.28199959,8.6,67.332874753125,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
2025-05-17 06:15:00,73.10999298,0.0,-259.1085833410022,0.0,0.0,0.0,79.99999237,73.69999695,0.0,-1.1964490497679936,0.0,0.0,0.0,79.99999237,74.09999085,0.0,-2.403729990188133,0.0,0.0,0.0,79.99999237,72.69999695,0.0,0.0,0.0,0.0,0.0,79.99999237,72.78999329,0.0,0.0,0.0,0.0,0.0,79.99999237,75.34999085,0.0,0.0,0.0,0.0,0.0,79.99999237,71.93999481,0.0,0.0,0.0,0.0,0.0,79.99999237,64.81399918,19.6,67.114624693125,0.0,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237,65.0,79.99999237
